date,Battery (Charging) -  MW,Pumps -  MW,Coal (Brown) -  MW,Coal (Black) -  MW,Bioenergy (Biomass) -  MW,Distillate -  MW,Gas (Steam) -  MW,Gas (CCGT) -  MW,Gas (OCGT) -  MW,Gas (Reciprocating) -  MW,Gas (Waste Coal Mine) -  MW,Battery (Discharging) -  MW,Hydro -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2021-10-08 12:35,-116.90,-316.90,2607.00,7853.00,31.80,-0.18,80.41,292.50,-1.04,0.00,32.11,0.02,859.00,1687.00,2641.00,0.00,NaN,-66.39
2021-10-08 12:40,-36.45,-317.20,2613.00,7889.00,29.90,-0.17,81.38,296.00,-0.97,0.00,32.41,0.01,863.90,1506.00,2783.00,0.00,NaN,-49.89
2021-10-08 12:45,-53.76,-316.20,2657.00,7994.00,31.00,-0.17,85.68,299.00,-1.01,0.00,32.23,0.29,835.90,1500.00,2707.00,0.00,NaN,-53.81
2021-10-08 12:50,-9.91,-317.10,2626.00,7975.00,32.40,-0.17,79.40,292.70,-0.95,0.00,32.04,1.11,839.60,1415.00,2798.00,0.00,NaN,-32.49
2021-10-08 12:55,-83.71,-316.70,2585.00,7896.00,31.50,-0.17,79.77,292.40,-0.94,0.00,32.25,0.00,853.50,1506.00,2805.00,0.00,NaN,-52.87
2021-10-08 13:00,-35.01,-317.50,2498.00,7835.00,28.90,-0.17,79.12,291.90,-1.03,0.00,32.11,0.01,813.20,1544.00,2805.00,8472.00,NaN,-75.52
2021-10-08 13:05,-44.34,-316.30,2548.00,7974.00,31.40,-0.17,81.57,296.50,-0.95,0.00,32.13,0.01,784.10,1511.00,2735.00,8439.83,NaN,-46.85
2021-10-08 13:10,-17.91,-317.80,2574.00,7931.00,31.70,-0.17,80.34,291.80,-0.97,0.00,32.19,0.02,801.30,1688.00,2550.00,8407.67,NaN,-49.07
2021-10-08 13:15,-62.31,-317.10,2601.00,7993.00,31.80,-0.17,81.59,295.00,-1.08,0.00,32.23,1.02,816.10,1745.00,2494.00,8375.50,NaN,-41.43
2021-10-08 13:20,-94.42,-317.10,2580.00,7939.00,34.80,-0.17,79.84,294.00,0.06,0.00,32.08,0.01,811.50,1811.00,2544.00,8343.33,NaN,-47.98
